Model,MSO2012,,,
Firmware Version,1.06,,,
,,,,
Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,2,,,
Sample Interval,0.0032,,,
Filter Frequency,1.00E+08,,,
Record Length,6242,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,0.2,,5,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect
-8.79E+00,0.00399999,-0.00400001,0,-0.2
-8.79E+00,0.00399999,0.02,0,0.4
-8.78E+00,0.00399999,-0.012,0,-0.2
-8.78E+00,0.00399999,0.012,0,0.4
-8.78E+00,0.00399999,-0.00400001,0,-0.2
-8.77E+00,0.00399999,0.012,0,0.4
-8.77E+00,0.00399999,-0.012,0,-0.2
-8.77E+00,0.00399999,0.012,0,0.4
-8.77E+00,0.00399999,-0.00400001,0,-0.2
-8.76E+00,0.00399999,0.02,0,0.4
-8.76E+00,0.00399999,-0.012,0,-0.2
-8.76E+00,-0.00400001,0.012,0,0.4
-8.75E+00,0.00399999,-0.012,0,-0.2
-8.75E+00,0.00399999,0.02,0,0.4
-8.75E+00,0.00399999,-0.00400001,0,-0.2
-8.74E+00,0.00399999,0.012,0,0.4
-8.74E+00,0.00399999,-0.012,0,-0.2
-8.74E+00,0.00399999,0.012,0,0.4
-8.73E+00,0.00399999,-0.012,0,-0.2
-8.73E+00,0.00399999,0.012,0,0.4
-8.73E+00,0.00399999,-0.012,0,-0.2
-8.72E+00,0.00399999,0.012,0,0.2
-8.72E+00,0.00399999,-0.012,0,-0.2
-8.72E+00,0.00399999,0.02,0,0.4
-8.71E+00,0.00399999,-0.012,0,-0.2
-8.71E+00,0.00399999,0.012,0,0.4
-8.71E+00,0.00399999,-0.012,0,-0.2
-8.70E+00,0.00399999,0.012,0,0.2
-8.70E+00,0.00399999,-0.012,0,-0.2
-8.70E+00,0.00399999,0.012,0,0.4
-8.69E+00,0.00399999,-0.012,0,-0.2
-8.69E+00,0.00399999,0.02,0,0.2
